Amplitude_Median,Amplitude_Median.1,Amplitude_Median.2,Amplitude_Median.3,Amplitude_Median.4,Amplitude_Median.5,Amplitude_Median.6,Amplitude_Median.7,Amplitude_Median.8,Amplitude_Median.9,Amplitude_Median.10,Amplitude_Median
73.2,69.25263157894737,73.3,,87.95,77.5,86.772,81.5,63.9,79.22777777777777,73.55,81.3
73.2,69.19473684210526,79.10000000000001,,87.9,77.6,86.77799999999999,82.0,65.2,80.0,76.9,82.4
73.3,69.13684210526316,84.9,,87.6,77.5,86.78399999999999,82.3,65.7,82.35,69.1,82.1
73.5,69.07894736842105,76.3,,87.2,78.5,86.78999999999999,82.7,65.9,84.7,70.8,82.5
73.9,69.02105263157895,69.525,,87.3,78.6,86.79599999999999,82.65,65.65,85.13333333333334,74.0,82.4
73.3,68.96315789473684,62.75,,87.2,76.8,86.80199999999999,82.3,65.69999999999999,85.56666666666666,69.9,82.3
73.4,68.90526315789474,62.45,,87.2,78.4,86.80799999999999,82.3,81.1,86.0,69.80000000000001,82.1
72.7,68.84736842105264,65.94999999999999,,84.7,78.9,86.814,82.2,81.2,74.4,69.7,82.3
73.5,68.78947368421052,68.85,,86.0,79.5,86.82,82.3,81.2,74.5,73.2,82.0
73.3,68.73157894736842,71.75,,87.0,79.8,86.826,81.4,80.9,70.0,77.6,82.0
73.0,68.67368421052632,74.65,,84.5,80.3,86.832,81.0,66.7,80.8,71.8,82.0
72.5,68.61578947368422,74.575,,80.1,80.6,86.838,81.6,65.35,70.2,84.9,82.5
73.6,68.5578947368421,74.5,,71.9,79.7,86.844,83.0,81.8,67.45,77.44999999999999,82.2
73.6,68.5,74.42500000000001,,,80.6,86.85,85.1,83.4,66.1,76.2,81.9
68.9,75.0,74.35000000000001,,,79.0,87.69999999999999,87.0,79.5,75.7,68.4,82.2
69.35,81.5,74.275,,,79.3,88.55,88.1,73.69999999999999,75.7,71.4,82.7
69.2,79.9,74.2,,,80.4,89.39999999999999,88.7,71.3,74.7,71.7,83.0
68.0,75.1,93.75,,,80.1,90.25,89.7,68.9,73.1,71.8,82.8
69.55000000000001,70.3,87.8875,,,79.4,91.1,90.4,80.2,73.0,62.4,83.2
70.4,69.63571428571429,82.025,,,78.0,90.84545454545454,90.7,80.9,74.725,71.35,82.7
70.5,68.97142857142858,76.1625,,,76.9,90.59090909090908,90.7,80.9,76.45,61.5,82.9
73.9,68.30714285714285,70.3,,,78.1,90.33636363636364,91.1,81.2,69.65,71.8,81.5
71.5,67.64285714285714,69.9,,,78.6,90.08181818181818,91.5,67.15,73.3,84.8,80.8
94.25,66.97857142857143,62.8,,,78.5,89.82727272727273,90.2,66.25,73.35,72.5,81.2
77.6,66.31428571428572,71.69999999999999,,,77.7,89.57272727272726,90.6,72.0,75.2,72.2,81.3
81.4,65.65,70.05,,,78.9,89.31818181818181,89.9,70.5,74.8,69.1,81.2
74.55000000000001,64.98571428571428,68.4,,,78.8,89.06363636363636,89.4,80.9,74.6,64.6,80.1
