Energy_Root_standard_squared,Energy_Root_standard_squared.1,Energy_Root_standard_squared.2,Energy_Root_standard_squared.3,Energy_Root_standard_squared.4,Energy_Root_standard_squared.5,Energy_Root_standard_squared.6,Energy_Root_standard_squared.7,Energy_Root_standard_squared.8,Energy_Root_standard_squared.9,Energy_Root_standard_squared.10,Energy_Root_standard_squared
823462.8054138208,52584.00881517877,79500154.2417095,,146753847.74033767,5122094.20548861,5524301.19753174,1782654.35630158,438731.92452795134,14464876.131987588,677655.9015459099,47126247.55696765
738181.8874098713,51889.20896068407,10833177.73067995,,135491850.55514345,75508086.58744109,5258280.401052648,1872992.8777558128,370285.7014522705,17324412.480652742,634772.756504247,45144405.20006881
718609.9776652145,51194.40910618936,19673.90149411144,,144787425.71614453,75771108.04069385,4992259.604573555,6999247.228244263,431086.4436513865,20183948.829317894,645856.8900306012,45213791.35339681
1603860.1127903892,50499.60925169467,342813.6072898875,,148654067.40370578,4694439.370404095,4726238.808094463,14549034.17456719,50173.38238548404,23043485.17798305,107468.18133754752,44715213.066741616
644642.7383442709,49804.80939719996,665953.3130856635,,144410099.00354427,15210189.22398732,4460218.011615371,17357991.193657316,103795.36887549463,25903021.5266482,726746.6752589928,46967891.06600593
742886.1823994305,49110.00954270526,989093.0188814396,,138323086.93638968,4152022.1496398593,4194197.2151362784,20445870.931880035,118600.63448396893,13855213.147961875,665694.4702339055,44309287.37677351
743207.0371033902,48415.20968821056,758020.6119229213,,145971849.90059748,27718176.446844406,3928176.418657186,25313223.05664549,103670.55560765554,1807404.7692755489,652254.0455987989,47874538.78522904
621334.6609517289,47720.40983371586,394858.4746253789,,153522832.16194862,5693491.928684891,3662155.6221780935,23329416.251658484,828895.1383619041,83923118.48318739,800322.7723862417,43111087.22251968
513203.6999087205,47025.60997922116,31696.33732783648,,140182541.67944577,6547633.810018701,3396134.8256990016,25501003.53227037,837643.1771345123,166038832.19709924,738222.8192761316,43229051.90229367
988070.8153265128,46330.81012472646,18019.64206081797,,145356827.94953105,9472097.759583144,3130114.0292199086,26144304.79443248,2334911.409796954,248154545.91101107,738265.3240152535,40663029.1339873
1425966.7387425276,45636.01027023175,28871.6158190012,,136990307.24334013,78950450.45270357,2864093.2327408167,26573489.58441601,3661985.601992449,896436.8173496668,738307.8287543753,43293048.64056353
1185471.9271243836,44941.210415737056,52812.27542347724,,164643616.66673905,6932751.909386344,2598072.436261724,25904884.620432127,4699266.495316051,56575.07313296201,695494.2774746604,40250252.04965428
685139.1169682257,44246.41056124235,76752.93502795327,,168286508.5511612,8565173.768931953,2332051.639782632,20636414.9941265,4421783.951099375,37571.90572755127,736356.1706131076,38391370.6656535
679515.5898138026,43551.61070674765,100693.59463242932,,192751458.97017983,12703020.77254068,2066030.8433035389,18064746.96730992,2956432.9705745066,973785.2997452776,2067764.129319396,39604881.204789646
537361.0055632992,42856.81085225295,2241265.067497374,,233876598.31015223,100608531.57687372,1800010.0468244469,16439131.755792275,2011010.63865908,39748.84778204269,887251.9371632839,47110016.71986543
651514.635292255,42162.01099775825,4381836.540362318,,20868674.705220263,16851471.77344163,1533989.250345355,24444630.60060794,2888723.766648518,317035.6271777669,874305.6902479818,37320370.33139543
292362.6857175861,41467.21114326354,6522408.013227263,,,21680571.02560332,1267968.4538662625,88370490.683439,1671953.4342797948,363548.35194235167,751029.7970786511,36557951.64723264
104914.53664769244,163935.6045101941,8662979.486092208,,,16704263.53894418,5234623.291319754,61648449.22588211,743419.1886143376,788246.2939969968,802480.9217046845,38863243.80302068
302892.22076507675,286403.99787712464,10803550.958957152,,,25495104.536442384,9201278.128773244,89860247.06566617,189317.9600566201,342339.0594133249,811613.2983755256,43634434.00953655
31938.84781891795,3544805.692474554,12944122.431822097,,,19363746.78975895,13167932.966226734,122449808.4530006,120006.38423465828,107378.62915869246,1009272.6221393306,39793640.89599362
