Amplitude_Skewness,Amplitude_Skewness.1,Amplitude_Skewness.2,Amplitude_Skewness.3,Amplitude_Skewness.4,Amplitude_Skewness.5,Amplitude_Skewness.6,Amplitude_Skewness.7,Amplitude_Skewness.8,Amplitude_Skewness.9,Amplitude_Skewness.10,Amplitude_Skewness
-1.7273478491147378,-0.5406225638438827,0.9508471547667046,-0.6196946696523739,-2.988453702387614,0.0034697221481929,-1.030751138698715,-2.718760439430701,-0.6734199837332462,-2.6138275890468083,-0.1020347767853838,-2.775643231331356
-1.665093992423146,-0.5684445310428143,0.7278048675554342,-0.7000062615668309,-2.9519279123967537,0.5183735907711918,-1.007270176022084,-2.659916023284948,-1.1095411207733088,-2.585044182112,-0.0848442880634266,-2.706294905799237
-1.5246612491120448,-0.3860331003250939,0.6819465101528798,-0.5215163016238417,-2.765111361314934,1.7257516508143578,-0.7057450272814787,-2.5715381384259053,-1.1821666917080047,-2.442988387060582,0.210656914158778,-2.501277133318106
-1.2757638445443338,0.0450441051448656,0.7949749424027333,-0.126219009825477,-2.34136126072111,3.562580811279235,-0.060356704439388,-2.45707426826491,-0.9060492562000588,-2.073989625861896,0.8403687060815086,-1.965202820797532
-0.8441321593384248,0.8540417279113517,1.0778287810232092,0.4778831618795389,-1.455950538899766,5.527149719615454,1.0411608383120747,-2.263786989075488,-0.155190888584608,-1.1456933799524172,1.8696017766704347,-0.5449796491710397
-0.0648395235435663,2.162874543371382,1.5767836103252466,1.2437912229550097,0.2834522774032808,6.84481472511648,2.605786418173479,-1.7722184658304283,1.276269148959807,1.1731544766780404,3.213241613037322,2.856221043214385
1.3348204692160994,3.749117113368177,2.163831206295756,1.9637222883935428,2.937299396310974,7.224194960224942,4.1764291272676894,0.0694986928378812,3.133275521164501,5.463022867907725,4.43696750547047,7.532230267428231
3.0166935113072166,4.923255669182376,2.654925543564336,2.303959574382568,4.847827063902838,6.978270430595724,4.92013251799846,4.2268137313249445,4.250024598548873,8.115432811038449,5.012135751485999,8.589888559759752
3.603239787630666,5.317499128699545,2.9045981777115992,2.3047413270695696,4.644301655594085,6.488380072356224,4.759553790533105,4.996356898387005,4.2242691199545686,6.941468212596133,4.942976757920659,6.740898249234672
3.744857873353649,5.965089489193082,3.6126665361141335,2.965638358467042,4.657169761292657,6.5401615496766405,4.931374361709649,5.048657820454736,4.344130088992721,7.29598366270698,5.208628317479597,6.413003995471563
2.285911557517806,6.119955470722237,3.145132409761977,1.3432327905586272,1.6185038858690386,7.150914037748096,5.273437018558746,4.550700578694661,3.558977480506207,7.557936802820196,4.976751155233596,7.83583766533431
-0.2766248817262906,5.721662695978847,1.8065678209287528,-1.6116201535385033,-2.224708676727873,7.27330068164198,4.800544707651551,0.8607261234279511,1.7658503409017865,4.514625165590076,4.522607817657788,7.856481568215294
-1.0561213467681276,4.5713459340804405,0.5788597512411159,-2.2036370977842816,-2.465749896392533,6.962679736860252,3.218192219581139,-1.296177363588211,-0.1021567114737666,1.042939838400413,3.896521207233246,5.205787307651389
-1.4754258312532371,3.441279936815406,-0.3061088801069613,-2.446647544682044,-2.452274764723919,6.427053747634378,1.2459420091836506,-1.969898960294826,-1.1864597750261034,-0.782241967475678,3.0809844941422133,1.826340998884432
-1.7607994812440464,2.459680975041276,-0.6909468598715169,-2.721386565749022,-2.518524645609072,5.876652936229009,-0.0311505183041854,-2.1936137880417355,-1.644950227357562,-1.5487233322168543,2.337786955577743,-0.3647344731637056
-1.9399655664742463,1.7969065466602236,-0.7810666683589431,-2.962403118103872,-2.5959755033481047,5.453732476205293,-0.6835986390887175,-2.2637695279041887,-1.843349771112404,-1.8366548659717352,1.823810125402345,-1.4488238001251446
-2.0546041446449927,1.457447354724296,-0.713279986482166,-3.1308976023556045,-2.665576711933777,5.230989423751283,-0.9844946545918551,-2.262777807262087,-1.9134838402382568,-1.8470897914290136,1.580267679644379,-1.915912204877097
-2.134100048681863,1.4064015077942331,-0.5089123404344645,-3.173304448201139,-2.7269528511279075,5.23235160029649,-1.0219195320698702,-2.208409454087792,-1.872968605654345,-1.667294787665231,1.6052089914829015,-2.0411672806210235
-2.199835590162258,1.631840626027667,-0.113461661419532,-2.957723739697771,-2.782277826449373,5.448521455490962,-0.8098931504896034,-2.08276799623738,-1.6671994072859675,-1.236111427897248,1.8970926720079948,-1.9028847363020092
-2.2381582513555625,2.1519791792980394,0.5501146515372536,-2.2183687316817884,-2.823793303178532,5.83885639299348,-0.2674157578003558,-1.8085737402686897,-1.1216095821211456,-0.2908786518100674,2.444251899762727,-1.401571010009645
-2.069206183213101,2.9738618383997,1.499481413576123,-0.6908541122905195,-2.793349691530925,6.322796049031667,0.8258113131568249,-1.129448942932788,0.102184399698095,1.819374507456066,3.160472691474333,-0.1141045718662536
-1.544552280379667,3.9909875241024735,2.558978145381282,1.3108748122360847,-2.4950712931936017,6.774831009036195,2.570551758758615,0.6394328091327616,2.055708340500123,5.992369685201544,3.832258840500368,2.9249524718870283
-0.0064379006519534,4.954253119786318,3.3717253604812942,2.812674468417059,-1.1297517603636975,7.048243665250535,4.514166994483325,3.6025197012953005,3.718428917822549,10.287241800123946,4.226735170698744,6.678565089677303
2.9667543173622635,5.559399039292882,3.809974590197575,3.4470387242024496,2.371612323900972,7.013040316731182,5.265415063270302,4.933988320910977,4.503029036931944,10.1221798430039,4.516868986590431,6.3375773765861485
3.884230557929724,5.588200501371075,3.848467097088226,3.377029218786032,3.570804057167635,6.534414115959644,5.085154128561168,4.432487453546136,4.493530456869316,7.378750042594724,4.328107321501231,4.860352927667858
4.2504790392011325,5.504156772969841,3.783345636102891,3.644292976378508,3.827573146164877,6.953993873317836,5.561997123802094,5.435415778720403,5.053165945261092,10.2226904298153,4.632642687108421,7.255098761654131
1.8536979971682768,5.376121613116944,3.715970225838346,3.9802100018275097,-1.175758756415829,7.206137255977402,4.996038476587298,4.698975211704481,5.053316884722919,12.063427181566508,4.903389196896407,3.915017466940108
-0.8579720401532743,4.35573308915106,3.38278827093832,3.82127871671372,-3.5078487228015955,6.634283755564539,2.1333825306709584,1.3389261804090569,3.566560995945357,9.481911455813558,4.848477694194332,-0.78280543023217
-1.720643990251528,2.636582946179764,2.873836792491568,2.3306441511889275,-3.470448949067108,4.394585851841673,-0.4062830681397539,-0.9717965057881626,1.3014447144580166,4.937330232408762,4.351214930887723,-2.275220276453352
-2.002566963648729,1.0366192955254303,2.377951005414193,0.3863296615222936,-3.25182566296771,0.9182349282747602,-1.6472623845086334,-1.89811909198926,-0.4255908348150427,1.7469095855589178,3.586109816064115,-2.698000010278257
-2.0972819327377934,0.0254450118254979,2.02590674798903,-0.8668021555190488,-3.0955003526525764,-1.6473755905661551,-2.175873151480768,-2.275186550835116,-1.399257102314864,0.0413083360128797,2.873216962322495,-2.829589588187065
-2.1038979996504668,-0.4652660199568662,1.8510059900373843,-1.4765941080803178,-2.995708589928374,-2.7249698502545665,-2.3632717728895023,-2.449672564913197,-1.884863944905864,-0.8046423892475426,2.422483632362279,-2.8511030009025924
-2.047651619586748,-0.625045602869548,1.8378253552469777,-1.6977194659890156,-2.935242026233243,-3.0311867739980056,-2.328794196439884,-2.529247094734147,-2.08837539293651,-1.1818108734572126,2.295490153789078,-2.7946709764953
-1.9246077630351544,-0.5718361618140453,1.9624579777241395,-1.644223589023768,-2.907886126435995,-3.058151685221552,-2.0960332421393466,-2.512185050049453,-2.1017050084634,-1.2549756526027975,2.4808392411720512,-2.621330268390183
-1.7048123278787963,-0.3415829052673169,2.2039276376967494,-1.314475062359981,-2.9196146022821825,-2.9731696141145227,-1.620502926215465,-2.310744001953524,-1.9285828595862229,-1.0376058194110624,2.928234848251269,-2.172362193587977
-1.3102136686205053,0.0944474609447992,2.5395429288195115,-0.6148706957956548,-2.9863584772141483,-2.7529601912794712,-0.7812809153119767,-1.7445016304771344,-1.441232196441245,-0.3748551893331364,3.5233063056315226,-0.9552227327244605
-0.5414190974530202,0.8099671913160869,2.942952957361502,0.7960222760614691,-3.086227269147648,-2.03240242758743,0.5353146037799792,-0.1741756593799031,-0.141082928003636,1.1969332552144016,4.079968487016112,2.185349949508628
1.048296358768999,1.8281419584529188,3.4314917634826143,2.574379487046791,-2.624953274913296,0.2910413758104862,1.999193250857036,3.259155712727938,2.2204359609459514,4.237368530634585,4.4358967456836,7.19527332316216
3.2166086407849663,2.8796045685438134,3.5545381936977205,3.440540781488347,1.5192844366109644,3.18952052734922,2.809476135606594,6.028755188994709,4.083866066595059,6.263460006769352,4.5563621575055535,9.069280212537253
3.856687204070809,3.529456845903068,3.1247682816943345,3.2385262177591545,5.278670598946821,3.713258758892628,3.137723581822474,5.586918711529124,4.06382624250752,4.939865101419105,4.499522437478478,7.482667786684288
4.115766987773083,4.28120242952471,3.2560238350968502,3.052077875598742,4.637652956088379,3.582478560278563,3.664192356656237,5.720585811534777,4.354394774655843,4.659144904377349,4.809489430163075,7.291449824108944
4.2244729572460615,3.1400443459460736,2.443713122772097,2.8348577983060737,4.5296351630700205,3.693488725493393,3.640652041475525,7.07844126698966,3.091022454447012,3.1904932957591976,4.973803913450917,8.893278837626783
3.541356409437168,1.468104885658493,1.9336492770711784,2.423057719730846,2.263443799005919,3.165703481792675,1.7728501554265532,5.684338552382357,0.823116431098521,-1.3539660035905072,4.855804285720689,8.808907207306252
1.663529496483943,0.1798911246667603,1.3490969223606846,1.5118300776085905,-0.6603885243319101,0.4409778560736019,-0.0479355563070989,2.971869530270248,-1.1119646409382948,-2.315834246546253,4.80824684774116,6.6862808013349095
0.352368761836209,-0.4685706107217851,0.629032124159736,0.3891371610571294,-1.8742088530594687,-1.896750199262472,-0.9941015799112984,1.0287343125794108,-2.1165150285292853,-2.5330702240171954,4.620507928972236,4.180234803538916
