Specimen #1,,Specimen #2,
Crack density,Cumulative AE energy,Crack density,Cumulative AE energy
[mm-1],[eu],[mm-1],[eu]
0.775,5.39E+09,0.8125,3.02E+09
0.775,5.39E+09,0.8125,3.02E+09
0.775,5.39E+09,0.8125,3.02E+09
0.775,5.39E+09,0.8125,3.02E+09
0.775,5.39E+09,0.8125,3.02E+09
0.775,5.39E+09,0.8125,3.02E+09
0.775,5.39E+09,0.825,3.02E+09
0.775,5.39E+09,0.825,3.11E+09
0.775,5.39E+09,0.825,3.11E+09
0.775,5.39E+09,0.825,3.11E+09
0.8,5.39E+09,0.825,3.11E+09
0.8,5.48E+09,0.825,3.11E+09
0.8,5.48E+09,0.8375,3.11E+09
0.8,5.48E+09,0.8375,3.11E+09
0.8,5.49E+09,0.8375,3.11E+09
0.8,5.49E+09,0.8375,3.11E+09
0.8,5.49E+09,0.8375,3.11E+09
0.8,5.49E+09,0.8375,3.11E+09
0.8125,5.49E+09,0.8375,3.11E+09
0.8125,5.54E+09,0.8375,3.11E+09
0.8125,5.54E+09,0.8375,3.11E+09
0.8125,5.54E+09,0.8375,3.11E+09
0.8125,5.54E+09,0.8375,3.11E+09
0.8125,5.54E+09,0.8375,3.11E+09
0.8125,5.54E+09,0.8375,3.11E+09
0.8125,5.54E+09,0.8375,3.11E+09
0.8125,5.58E+09,0.8375,3.11E+09
0.8125,5.58E+09,0.8375,3.11E+09
0.8125,5.58E+09,0.8375,3.11E+09
0.8125,5.58E+09,0.8375,3.11E+09
0.8125,5.58E+09,0.8375,3.11E+09
0.8125,5.58E+09,0.8375,3.11E+09
0.8125,5.58E+09,0.8375,3.12E+09
0.8125,5.58E+09,0.8375,3.12E+09
0.8125,5.58E+09,0.8375,3.12E+09
0.8125,5.58E+09,0.8375,3.12E+09
0.8125,5.58E+09,0.8375,3.12E+09
0.825,5.58E+09,0.8375,3.12E+09
