RMS_envelope_Impulse_factor,RMS_envelope_Impulse_factor.1,RMS_envelope_Impulse_factor.2,RMS_envelope_Impulse_factor.3,RMS_envelope_Impulse_factor.4,RMS_envelope_Impulse_factor.5,RMS_envelope_Impulse_factor.6,RMS_envelope_Impulse_factor.7,RMS_envelope_Impulse_factor.8,RMS_envelope_Impulse_factor.9,RMS_envelope_Impulse_factor.10,RMS_envelope_Impulse_factor
1.5190328606604266,1.2127515035720549,1.0492933351525149,1.3022907977039595,1.841280953772356,1.3249527694660477,1.169029522030074,1.428635246115846,1.9483508118455968,1.0174214716463197,1.573630060403616,1.4495437663261703
1.6864357272152315,1.21953361405293,1.0649812353892054,1.5499164569515342,1.9285748691000253,1.279364524634542,1.13238756477815,1.951622941703358,1.796866307348194,1.0100899224598825,1.474632780574089,1.4398289891830982
1.6428173544895546,1.2263157245338052,1.080669135625896,1.5325373083270477,1.9543298347154203,1.175115943330564,1.0957456075262262,2.100489489504927,1.227028527979612,1.0076673131886946,1.3947765653111597,1.4039964524765596
1.5004805469436224,1.2330978350146804,1.0963570358625865,1.1712976696587087,1.9788637358050247,1.4182825327592716,1.1193219049733505,1.829835497988504,1.63962837021449,1.005244703917507,1.4480861377976713,1.3932932948429209
1.4785094059417123,1.2398799454955556,1.112044936099277,1.582624387733716,1.758155159241698,1.2182705507374094,1.1428982024204744,1.609991863460952,1.4754704089439596,1.0538642280395305,1.191422321397654,1.516876978909297
1.6511357732089786,1.2466620559764308,1.1277328363359675,1.6539898750540971,1.9563842504864628,1.0173977311064986,1.1664744998675984,1.8925254519154653,1.3587309718745175,1.0230178267855137,1.2172712540126929,1.4397824752776691
1.5763691098213148,1.253444166457306,1.143420736572658,1.3406446782933936,1.877234124793404,1.11337254231856,1.126883967146941,1.929370708878892,1.3467796913040553,1.0135691103360984,1.1678706166875348,1.5039603834803614
1.7052486645624327,1.2602262769381811,1.027948401514765,1.3565712220904091,1.9507702171869648,1.2694776536292862,1.0872934344262837,1.6961950267999084,1.178764644058477,1.0041203938866834,1.0921662646748669,1.4517111001230676
1.6577925063337928,1.2670083874190563,1.0297526468760037,1.5159116913282793,2.15677075533289,1.3697503013236445,1.0477029017056263,1.6940013344114375,1.1898542887900945,1.0382546348004107,1.4329714393091224,1.5073639399556105
1.6483436062511891,1.266523861100372,1.0315568922372422,1.4835943565888778,1.683824929892016,1.291065862188138,1.008112368984969,1.6861632439797154,1.2830498801716566,1.0723888757141378,1.2234810445118185,1.5300266552243011
1.649409543464199,1.2660393347816874,1.0333611375984806,1.581562022370245,1.773044470179716,1.200236400033561,1.0400499319491647,1.684374441120704,1.494948533814931,1.0632516625830732,1.6787726704690809,1.5452757916774873
1.636987641221206,1.265554808463003,1.0351653829597192,1.4846068120413776,1.860407664939234,1.4162226171733987,1.0719874949133603,1.7136813861045477,1.254608092466902,1.0662739016632303,1.3423656282712662,1.568420584297438
1.5877574971661823,1.2650702821443185,1.0369696283209575,1.4757721540612478,1.7561662977749852,1.2252311304697274,1.1039250578775566,1.718588319317808,1.1950507278038514,1.0692961407433876,1.0059585860734517,1.509885675459967
1.532557815940895,1.2645857558256342,1.0387738736821963,1.8926735388104208,1.9027796193318387,1.4037938478940293,1.1358626208417524,1.681007269651431,1.4687212480116332,1.0723183798235447,1.099701316229058,1.4794803364784015
1.5238558241262414,1.2641012295069498,1.040578119043435,1.477133288010302,1.755922715504551,1.375430613252365,1.1678001838059482,1.720377339279841,2.1827023750098946,1.075340618903702,1.1968743019882029,1.5003918685715398
1.6110416394684286,1.2636167031882652,1.0423823644046732,1.327871221616485,1.8086013383466288,1.5649113428641797,1.1588795235961225,1.7397509984770667,1.506906246578562,1.0783628579838591,1.294047287747347,1.490160582905527
1.5240791893604564,1.263132176869581,1.0441866097659118,1.815892447520293,1.8644404524123432,1.3203071710262488,1.1499588633862967,1.7366206571853036,1.7986977050718105,1.0786680265198214,1.3912202735064916,1.511845581191953
1.6341530909786253,1.2626476505508966,1.0399564362613132,2.0152871982311025,1.731665843102442,1.29747480950424,1.1410382031764708,1.8152088929608403,1.7634489108896885,1.0789731950557837,1.330029325338248,1.514852973885284
1.4399517121208527,1.262163124232212,1.0357262627567148,2.1700026426919705,1.6826646646903072,1.2973773161327002,1.132117542966645,1.4857368206066452,1.4093917529410234,1.079278363591746,1.2688383771700045,1.4596818548155484
