Counts_envelope_Crest_factor,Counts_envelope_Crest_factor.1,Counts_envelope_Crest_factor.2,Counts_envelope_Crest_factor.3,Counts_envelope_Crest_factor.4,Counts_envelope_Crest_factor.5,Counts_envelope_Crest_factor.6,Counts_envelope_Crest_factor.7,Counts_envelope_Crest_factor.8,Counts_envelope_Crest_factor.9,Counts_envelope_Crest_factor.10,Counts_envelope_Crest_factor
1.658091561141885,1.11212734863967,1.3225579984048732,3.295207904084773,1.3719724152442971,2.205991668898624,1.097099695364923,1.1819959800058095,1.0815111008567038,1.4319863540854962,2.2106913119326608,2.731309876905818
1.6175310069138005,1.1304087501083115,1.316532438786213,2.859560753815753,1.3225306559187096,1.4839075511724535,1.1196734939447417,1.1788552499084093,1.0476430974490407,1.450568898941615,1.9558233552789868,2.2594390701996523
1.5108880277001795,1.1486901515769532,1.3105068791675527,2.8389191465718566,1.3836475394668846,1.5134932058071102,1.1422472925245597,1.324905378446226,1.215926490135954,1.1740169530841107,1.6584527459676557,2.4006032685936938
1.803419096791657,1.1669715530455946,1.3044813195488922,2.512512512219361,1.359285871039715,1.777263543407748,1.2454562257562862,1.0900599753360265,2.044314608154575,1.1321190878446412,2.06666365272984,2.88055743488478
1.7476463659031984,1.1852529545142363,1.298455759930232,2.577190018282399,1.36374841038617,1.8502021502533044,1.053762111680864,1.2451598026609,1.1399643051737658,1.0902212226051715,1.8357767132609628,2.4983510973467777
1.8630379605235048,1.203534355982878,1.2924302003115715,2.083820828972956,2.42439142605439,1.7667229830276143,1.7120450976042043,1.3522071735805834,1.680863165872571,1.1032526108119651,2.561839619359826,2.759843633575594
1.971103470329528,1.2218157574515194,1.2864046406929115,2.2762521626253696,2.5519383807092346,2.0481671410157,1.27204230351885,1.4137718117965006,1.1924561523982595,1.1162839990187587,1.976229914933404,2.4136195873643587
1.9689842840494245,1.240097158920161,1.2803790810742512,2.771217380058859,1.7246927915107069,1.5743181090441825,1.19785100192647,1.0499855760789818,1.4130103972916714,1.1293153872255524,2.1460511781747966,2.816886340998412
1.942530753263564,1.2583785603888027,1.2017757649179015,2.17577766144836,1.6013129369434012,3.9047575202778217,1.12365970033409,1.0426547032313362,2.092352187973214,1.142346775432346,2.8476152511728814,2.493306699103945
1.851637032706516,1.2766599618574443,1.609553918228445,2.0240800340712344,1.620397009407047,1.595525421115215,1.1679992499073737,1.308951115198697,1.5864394950422225,1.2083905954005996,1.490662268608192,1.88409488549762
